jahr;bfs_nr_gemeinde;gemeinde_name;gebaeudehuelle;geak_sanierung;minergie_sanierung;minergie_neubau;holz_bis_70;holz_ab_70;waermepumpe;waermenetzanschluss;waermenetzprojekt;solarthermieanlage;solarstromanlage;batteriespeicher;energieeffizienz;komfortlueftung;elektrofahrzeug;ladeinfrastruktur;geak_plus;energieanalyse;wkk;biogasanlage;sonstige;total
2020;4746;MÅnchwilen (TG);1;1;;;;;9;2;;;;;;;12;1;;;;;;26
2008;4691;MÅnsterlingen;;;;;1;;;2;;8;;;;;;;1;;;;;12
2009;4691;MÅnsterlingen;5;;;4;1;;;1;;1;1;;;;;;5;;;;;18
2010;4691;MÅnsterlingen;15;;;2;1;;1;;;4;1;;;;;;2;;;;;26
2011;4691;MÅnsterlingen;10;1;;6;1;;;;;6;5;;;;;;;;;;;29
2012;4691;MÅnsterlingen;7;2;1;7;;;2;;;6;4;;;;;;1;1;;;;31
2013;4691;MÅnsterlingen;9;1;;1;;;1;;;1;5;;;;;;1;;;;;19
2014;4691;MÅnsterlingen;2;1;1;;;;;;;3;2;;;;;;;;;;;9
2015;4691;MÅnsterlingen;2;;1;2;;;3;;;;1;;;;;;4;;;;2;15
2016;4691;MÅnsterlingen;5;;;;;;2;;;1;;;;;;;;;;;4;12
2017;4691;MÅnsterlingen;7;;;;;;3;;;2;;2;;;;;1;;;;4;19
2018;4691;MÅnsterlingen;2;;;;;;4;;;1;;2;;;;;3;;;;4;16
2019;4691;MÅnsterlingen;1;1;;;;;6;;;;;2;;;2;;2;;;;;14
2020;4691;MÅnsterlingen;2;;;;;;6;;;;;3;;;9;;4;;;;;24
2008;4601;Neunforn;1;;;;;;;;;1;2;;;;;;;;;;;4
2009;4601;Neunforn;3;;;2;2;;1;;;3;2;;;;;;1;;;;;14
2010;4601;Neunforn;4;;;1;3;;2;;;1;4;;;;;;1;;;;;16
2011;4601;Neunforn;7;1;;4;1;1;2;21;;5;;;;;;;2;;;;;44
2012;4601;Neunforn;5;1;2;2;1;;;2;;;3;;;;;;;;;;;16
2013;4601;Neunforn;;;;;;;1;2;;1;1;;;;;;;;;;;5
2014;4601;Neunforn;5;;;;;;;;;3;;;;;;;2;;;;;10
2015;4601;Neunforn;2;1;;;;;2;1;;;;;;;;;1;;;;;7
2016;4601;Neunforn;2;;;;1;;1;;;;;;;;;;;;;;3;7
2017;4601;Neunforn;3;1;;;1;;2;1;;;;;;;;;;;;;7;15
2018;4601;Neunforn;2;;;;1;;1;1;;;;;1;;;;1;;;;3;10
2019;4601;Neunforn;1;;;;;;2;1;;1;;1;;;3;;;;;;;9
2020;4601;Neunforn;2;;;;1;;3;;;;;3;;;3;;4;;;;;16
2008;4841;Pfyn;1;;;;1;;;;;5;4;;;;;;;;;;;11
2009;4841;Pfyn;4;;;;2;;1;1;;3;1;;;;;;;;;;;12
2010;4841;Pfyn;6;;;1;;;;;;4;2;;;;;;1;;;;;14
2011;4841;Pfyn;8;1;;;;;1;;;5;1;;;;;;2;;;;;18
2012;4841;Pfyn;3;;;1;;;;;;2;1;;;;;;1;;;;;8
2013;4841;Pfyn;4;;1;1;;;;;;3;2;;;;;;;;;;;11
2014;4841;Pfyn;2;;;1;1;;2;;;2;3;;;;;;;;;;;11
2015;4841;Pfyn;3;;1;;1;;1;;;1;;;;;;;;;;;1;8
2016;4841;Pfyn;4;;;;;;1;;;1;;;;;;;;;;;1;7
2017;4841;Pfyn;2;2;;;1;;4;;;2;;2;;;;;;;;;5;18
2018;4841;Pfyn;2;1;;;;1;2;;;1;;2;;;;;4;;;;2;15
2019;4841;Pfyn;2;;;;;;4;;;2;;3;;;3;;;;;;;14
2020;4841;Pfyn;1;1;;;;;6;;;;;;;;5;;2;;;;;15
2008;4846;Raperswilen;1;;;;;;;;;;;;;;;;1;;;;;2
2009;4846;Raperswilen;;;;1;;;;;;3;;;;;;;;;;;;4
2010;4846;Raperswilen;2;1;;;;;;;;1;3;;;;;;1;;;;;8
2011;4846;Raperswilen;1;;;;;;1;;;2;;;;;;;;;;;;4
2012;4846;Raperswilen;;;;;;1;;;;;1;;;;;;;;;;;2
2013;4846;Raperswilen;1;;;;2;;;;;;1;;;;;;;;;;;4
2014;4846;Raperswilen;1;;;;;;;;;;;;;;;;;;;;;1
2015;4846;Raperswilen;;1;;;;;1;;;;1;;;;;;;;;;;3
2016;4846;Raperswilen;1;;;;1;;2;;;;;;;;;;;;;;;4
2017;4846;Raperswilen;;;;;;;;;;;;;;;;;;;;;;0
2018;4846;Raperswilen;1;;;;;;;;;;;;;;;;;;;;1;2
2019;4846;Raperswilen;2;;;;;;1;1;;;;;;;;;;;;;;4
2020;4846;Raperswilen;;;;;;;2;;;;;1;;;3;;;1;;;;7
2008;4751;Rickenbach (TG);;;;;;;;;;1;;;;;;;1;;;;;2
2009;4751;Rickenbach (TG);6;;;;1;;;;;3;;;;;;;;;;;;10
2010;4751;Rickenbach (TG);3;;;1;1;;1;;;4;1;;;;;;;;;;;11
2011;4751;Rickenbach (TG);9;;;2;1;;;;;1;1;;;;;;1;;;;;15
2012;4751;Rickenbach (TG);6;1;;3;;;1;;;;2;;;;;;;;;;;13
2013;4751;Rickenbach (TG);5;1;;;;;;;;1;1;;1;;;;;;;;;9
2014;4751;Rickenbach (TG);;;;8;;;;;;;2;;;;;;;;;;;10
2015;4751;Rickenbach (TG);2;1;;;;;;;;1;;;;;;;1;1;;;1;7
2016;4751;Rickenbach (TG);5;;;;;;;;;;;;1;;;;;;;;2;8
2017;4751;Rickenbach (TG);5;1;;;;;;;;;;1;;;;;;;;;3;10
2018;4751;Rickenbach (TG);3;;1;;;;;;;;;1;;;;;3;;;;;8
2019;4751;Rickenbach (TG);3;;;;;;4;;;;;1;;;1;;;;;;;9
2020;4751;Rickenbach (TG);;;;;;;1;;;;;1;1;;5;1;1;;;;;10
2008;4431;Roggwil (TG);4;;;;1;;;1;;1;;;;;;;2;;;;;9
2009;4431;Roggwil (TG);4;;1;2;2;;;2;;6;;;;;;;1;;;;;18
2010;4431;Roggwil (TG);5;;1;1;2;;2;;;1;4;;;;;;1;;;;1;18
2011;4431;Roggwil (TG);7;2;;;;;1;;;;5;;;;;;4;;;;;19
2012;4431;Roggwil (TG);3;1;;3;;;2;;;4;4;;;;;;1;;;;;18
2013;4431;Roggwil (TG);3;;1;2;1;;;;;1;4;;;;;;;1;;;;13
2014;4431;Roggwil (TG);9;;;3;;;;1;;2;3;;1;;;;;1;;;;20
2015;4431;Roggwil (TG);3;1;;;;;;1;;1;1;;1;;;;2;;;;;10
2016;4431;Roggwil (TG);6;;;;;;7;;;;;;2;;;;;;;;3;18
2017;4431;Roggwil (TG);7;1;;1;;;6;;;;;3;;;;;4;;;;4;26
2018;4431;Roggwil (TG);9;;;1;1;;4;2;;1;;6;1;;;;1;;;;1;27
2019;4431;Roggwil (TG);1;;;;1;;5;5;;;;6;1;;7;1;3;;;;1;31
2020;4431;Roggwil (TG);4;;;;;;13;1;1;;;8;1;;13;;7;;;;;48
2008;4436;Romanshorn;6;;;4;2;1;1;;;12;1;;1;;;;1;;;;;29
2009;4436;Romanshorn;16;;1;7;5;;1;;;13;2;;;;;;4;;;;;49
2010;4436;Romanshorn;35;;1;10;2;;5;;;8;4;;;1;;;11;;;;;77
2011;4436;Romanshorn;31;1;3;12;;;6;;;5;10;;;1;;;3;;;;2;74
2012;4436;Romanshorn;40;1;4;3;1;;2;;;9;10;;;;;;1;1;;;;72
2013;4436;Romanshorn;17;1;3;2;;;3;;;9;11;;1;;;;2;1;;;;50
2014;4436;Romanshorn;12;4;1;5;;;7;;;6;2;;;;;;4;;;;;41
2015;4436;Romanshorn;23;1;;2;;;3;;;2;3;;1;;;;2;1;;;3;41
2016;4436;Romanshorn;15;;1;6;;;5;;;2;;;1;;;;1;6;;;;37
2017;4436;Romanshorn;23;1;1;;;;8;;;2;;1;2;;;;3;3;;;6;50
2018;4436;Romanshorn;15;;;2;1;;8;;;1;;3;5;;;;9;;;;7;51
2019;4436;Romanshorn;9;1;;;;1;8;1;;;;1;2;;8;;9;;;;1;41
2020;4436;Romanshorn;6;3;;;;1;16;;;2;;9;2;;12;;9;;;;;60
2008;4851;Salenstein;;;;;;;;;;1;;;;;;;;;;;;1
2009;4851;Salenstein;3;;;;;;;;;2;;;;;;;1;;;;;6
2010;4851;Salenstein;2;;;1;1;;;;;1;;;;;;;1;;;;;6
2011;4851;Salenstein;4;;;2;1;;;;;1;;;;1;;;1;;;;;10
2012;4851;Salenstein;1;;;;;;1;;;2;4;;;;;;1;;;;;9
2013;4851;Salenstein;3;1;;1;;;2;;;;2;;1;;;;;;;;;10
2014;4851;Salenstein;;;;2;;;;;;;;;;;;;;;;;;2
2015;4851;Salenstein;1;;;3;;;;;;;;;;;;;3;;;;1;8
2016;4851;Salenstein;1;;;;;;1;;;;;1;;;;;1;;;;3;7
2017;4851;Salenstein;3;;;;;;1;;;;;;;;;;1;;;;2;7
2018;4851;Salenstein;3;;;3;;;4;;;;;2;;;;;;;;;2;14
2019;4851;Salenstein;3;;;;;;4;;;;;;;;;;2;;;;;9
2020;4851;Salenstein;2;;;;;;7;;;;;2;;;2;;2;;;;;15
2008;4441;Salmsach;3;;;;1;;;;;1;1;;;;;;;;;;1;7
2009;4441;Salmsach;2;;;2;1;;1;;;1;1;;;;;;2;;;;;10
2010;4441;Salmsach;6;;;1;1;;1;;;1;;;;;;;1;;;;;11
2011;4441;Salmsach;6;;;2;;;1;;;;2;;;;;;2;;;;;13
2012;4441;Salmsach;3;1;;1;1;;;;;2;1;;;;;;1;;;;;10
2013;4441;Salmsach;2;1;;2;;;1;;;;1;;;;;;;;;;;7
2014;4441;Salmsach;5;1;1;3;;;;;;1;;;;;;;1;;;;;12
2015;4441;Salmsach;2;1;;;;;1;;;;;;;;;;1;;;;;5
2016;4441;Salmsach;1;;;;;;1;;;;;;;;;;1;;;;1;4
2017;4441;Salmsach;4;1;;;;;2;;;;;;;;;;1;1;;;2;11
2018;4441;Salmsach;1;;;;;;;;;;;;2;;;;;;;;;3
2019;4441;Salmsach;1;;;;;;3;;;;;2;;;;;2;;;;;8
2020;4441;Salmsach;1;;;;;;4;;;;;;;;1;;3;;;;;9
2008;4546;Schlatt (TG);1;;;;;;;1;;1;1;;;;;;;;;;;4
2009;4546;Schlatt (TG);4;;;;;;;;;1;;;;;;;1;;;;;6
2010;4546;Schlatt (TG);5;;;;;;;1;;1;1;;;;;;;;;;;8
2011;4546;Schlatt (TG);4;1;;3;;;;;;;1;;;;;;1;;;;;10
2012;4546;Schlatt (TG);6;;;3;;;;;;1;1;;;;;;4;;;;;15
2013;4546;Schlatt (TG);2;;;1;1;;1;3;;;;;;;;;;;;;;8
2014;4546;Schlatt (TG);5;;;2;;;1;;;1;;;;;;;;;;;;9
2015;4546;Schlatt (TG);2;;;;;;;;;;;;;;;;;;;;1;3
2016;4546;Schlatt (TG);;;;;1;;2;;;2;;;1;1;;;;2;;;7;16
2017;4546;Schlatt (TG);6;;;;;;;;;;;1;1;;;;;;;;1;9
2018;4546;Schlatt (TG);6;;;;;;3;;;;;;;;;;1;;;;4;14
2019;4546;Schlatt (TG);3;;;;1;;5;;;3;;;1;;2;;1;;;;;16
2020;4546;Schlatt (TG);3;;;;2;;2;;;;;4;;;8;;;;;;;19
2008;4756;Schînholzerswilen;1;;;;3;;;;;;1;;;;;;;;;;;5
2009;4756;Schînholzerswilen;3;;;;2;;;2;;2;;;;;;;;;;;;9
2010;4756;Schînholzerswilen;1;;;;1;;;;;1;1;;;;;;2;;;;;6
2011;4756;Schînholzerswilen;3;2;;1;2;;2;;;1;1;;;;;;1;;;;;13
2012;4756;Schînholzerswilen;4;;;;1;;1;;;;;;;;;;1;;;;;7
2013;4756;Schînholzerswilen;3;;;1;;1;1;;;1;4;;;;;;;;;;;11
2014;4756;Schînholzerswilen;;;;;;;;;;1;2;;;1;;;;;;;;4
2015;4756;Schînholzerswilen;;;;;1;;1;1;;1;;;;;;;;;;;1;5
2016;4756;Schînholzerswilen;2;;;;1;;;;;1;;;;;;;;;;;1;5
2017;4756;Schînholzerswilen;2;;;1;;;2;;;1;;1;;;;;;;;;3;10
2018;4756;Schînholzerswilen;1;;;;1;;1;;;;;2;;;;;1;;;;2;8
2019;4756;Schînholzerswilen;;1;;;;;4;;;;;;;;1;;;;;;;6
2020;4756;Schînholzerswilen;2;;;;1;1;2;1;;1;;;;;5;;1;;;;;14
2008;4761;Sirnach;2;;;2;4;;;;;15;3;;;;;;2;;;;;28
2009;4761;Sirnach;10;;1;5;1;1;2;;;9;3;;;;;;3;;;;1;36
2010;4761;Sirnach;15;;2;4;;;2;;;10;4;;;;;;5;;;;;42
2011;4761;Sirnach;26;;2;8;2;1;2;;;13;3;;;;;;9;;;;;66
2012;4761;Sirnach;12;1;;15;1;;2;;;12;13;;;;;;3;;;;;59
2013;4761;Sirnach;6;2;1;6;;;2;;;5;8;;1;;;;;1;;;;32
2014;4761;Sirnach;17;1;1;6;1;;2;;;6;1;;;;;;;;;;;35
2015;4761;Sirnach;8;3;;;;;;;;2;;;1;;;;2;;;;3;19
2016;4761;Sirnach;4;;;;;;;;;2;;;2;;;;;;1;;6;15
2017;4761;Sirnach;16;1;;;1;;3;;;1;;4;2;;;;;1;;;7;36
2018;4761;Sirnach;13;1;1;;5;;5;;;;;12;1;;;;7;;;;13;58
2019;4761;Sirnach;12;1;;;;1;4;23;;2;;6;1;;12;;5;;;;;67
2020;4761;Sirnach;7;1;;;;;8;;;2;;4;2;;17;;6;1;;;;48
2008;4446;Sommeri;;;;;;;;;;;;;;;;;;;;;;0
2009;4446;Sommeri;2;;;;1;;1;;;2;1;;;;;;;;;;1;8
2010;4446;Sommeri;;;;;;;;;;3;1;;;;;;;;;;;4
2011;4446;Sommeri;2;;;;1;1;2;;;2;1;;;;;;1;;;;;10
2012;4446;Sommeri;5;;;;1;;;;;1;5;;;;;;;;;;;12
2013;4446;Sommeri;1;;;;;;3;;;;3;;;;;;;;;;;7
2014;4446;Sommeri;3;1;;;;;;;;;1;;;;;;;;;;;5
2015;4446;Sommeri;1;;;;1;1;1;;;;;;;;;;;;;;;4
2016;4446;Sommeri;1;;;;;;;;;;;;;;;;;;;;;1
2017;4446;Sommeri;1;;;;;;;;;;;1;;;;;;;;;3;5
2018;4446;Sommeri;3;;;;1;;;;;1;;1;;;;;;;;;2;8
2019;4446;Sommeri;;;;;1;;1;;;;;;;;2;;;;;;;4
2020;4446;Sommeri;1;;;;;;1;;;;;1;;;3;;;;;;;6
2008;4864;Steckborn;4;;;1;;;;;;2;2;;;;;;;;;;;9
2009;4864;Steckborn;7;;;2;;1;2;;;4;1;;;;;;4;;;;1;22
2010;4864;Steckborn;10;;;7;1;1;4;1;;4;3;;;;;;2;;;;;33
2011;4864;Steckborn;17;1;1;13;;;5;;;3;2;;;1;;;7;;;;;50
2012;4864;Steckborn;22;;1;10;;;;;;1;2;;;;;;2;;;;;38
2013;4864;Steckborn;7;1;2;;;1;2;;;1;1;;;;;;;;;;;15
2014;4864;Steckborn;9;1;1;13;;;2;;;2;1;;;;;;1;;;;;30
2015;4864;Steckborn;6;1;;1;;;;;;1;;;;;;;3;;;;1;13
2016;4864;Steckborn;6;;;;;;1;;;;;;;;;;;;;;;7
2017;4864;Steckborn;10;1;;;1;;2;;;1;;;;;;;;;;;1;16
2018;4864;Steckborn;3;;;3;1;;3;;;3;;1;;;;;3;1;;;;18
2019;4864;Steckborn;9;;;;2;;5;;;1;;1;;;6;;3;;;;;27
2020;4864;Steckborn;8;2;;;1;;6;;;1;;5;;;10;;4;;;;;37
2008;4606;Stettfurt;;;;1;1;;;;;;1;;;;;;1;;;;1;5
2009;4606;Stettfurt;2;;;2;;;;;;2;5;;;;;;;;;;;11
2010;4606;Stettfurt;1;;1;;;;1;;;4;3;;;;;;2;;;;;12
2011;4606;Stettfurt;7;2;;3;;;4;;;;3;;;;;;;;;;;19
2012;4606;Stettfurt;6;1;;;;;1;;;2;8;;;;;;1;;;;;19
2013;4606;Stettfurt;2;;;1;;;;;;2;3;;;;;;;;;;;8
2014;4606;Stettfurt;2;;;5;;;1;;;2;2;;;;;;1;;;;;13
2015;4606;Stettfurt;1;;;;1;;1;;;;;;;;;;;1;;;;4
2016;4606;Stettfurt;5;;;;2;;2;;;1;;;;;;;1;;;;1;12
2017;4606;Stettfurt;3;;;;;;3;;;2;;4;1;;;;;;;;1;14
2018;4606;Stettfurt;5;;1;;;;3;;;;;5;;;;;;;;;1;15
2019;4606;Stettfurt;;;;;1;1;2;1;;1;;5;;;6;;2;;;;;19
2020;4606;Stettfurt;;1;;1;1;;9;;;;;4;;;2;;1;;;;;19
2008;4506;Sulgen;2;;;2;1;;;;;;;;;;;;2;;;;1;8
2009;4506;Sulgen;10;;;1;1;;4;;;6;3;;;;;;2;;;;;27
2010;4506;Sulgen;9;;;;;;1;;;3;;;;;;;5;;;;;18
2011;4506;Sulgen;15;1;;4;;;1;;;3;2;;;;;;2;;;;;28
2012;4506;Sulgen;8;2;;7;;;2;1;;3;5;;;;;;10;;;;;38
2013;4506;Sulgen;6;;;3;1;2;2;3;;1;7;;;;;;3;;;;;28
2014;4506;Sulgen;5;2;;;1;;;;;;2;;;;;;;2;;;;12
2015;4506;Sulgen;7;1;;;1;;;;;3;1;;;;;;4;1;;;1;19
2016;4506;Sulgen;8;1;;;;;2;;;1;;;1;;;;1;2;;;2;18
2017;4506;Sulgen;14;;;;1;;1;;;;;1;1;;;;2;;;;1;21
2018;4506;Sulgen;8;;;;;;5;;;;;;1;;;;5;;;;2;21
2019;4506;Sulgen;7;1;;;;1;1;;;;;;4;;4;;1;;;;;19
2020;4506;Sulgen;5;;;;1;;8;1;;;;;;;1;;8;;;;;24
2008;4696;TÑgerwilen;3;;;1;;;;2;;3;1;;;;;;2;;;;;12
2009;4696;TÑgerwilen;13;;;2;2;;1;;;6;2;;;;;;;;;;;26
2010;4696;TÑgerwilen;9;;;7;;;2;;;5;1;;;;;;3;;;;;27
2011;4696;TÑgerwilen;15;1;;1;2;;;;;3;9;;;1;;;2;;;;;34
2012;4696;TÑgerwilen;10;2;;4;;;2;;;3;12;;;;;;2;;;;;35
2013;4696;TÑgerwilen;1;;1;18;;;1;;;1;17;;;;;;;;;;;39
2014;4696;TÑgerwilen;5;1;1;;;;1;;;;6;;;;;;1;;;;;15
2015;4696;TÑgerwilen;4;2;;;;;6;;;1;;;;1;;;;1;;;;15
2016;4696;TÑgerwilen;4;;;4;;;2;;;2;;;1;;;;1;;;;4;18
2017;4696;TÑgerwilen;3;2;;;;;2;;;;;1;2;;;;2;;;;8;20
2018;4696;TÑgerwilen;10;1;;;2;1;1;1;1;1;;1;;;;;5;;;;7;31
2019;4696;TÑgerwilen;8;;;1;;;5;;;;;1;;;9;;2;;;;1;27
2020;4696;TÑgerwilen;4;;;;;;5;;;;;;;;22;1;3;1;;;;36
2008;4611;Thundorf;1;;;;2;;;1;;3;3;;;;;;2;;;;;12
2009;4611;Thundorf;2;;;;2;;2;;;1;1;;;;;;;;;;1;9
2010;4611;Thundorf;4;;1;1;;;1;;;4;;;;;;;2;;;;;13
2011;4611;Thundorf;3;2;;;;;;1;;3;1;;;;;;;;;;;10
2012;4611;Thundorf;4;1;;2;;;1;;;1;3;;;;;;;;;;;12
2013;4611;Thundorf;4;;;;;;;1;;2;2;;;;;;;;;;;9
2014;4611;Thundorf;1;;;;;;2;;;;;;;;;;;;;;;3
2015;4611;Thundorf;;;;1;;;3;;;;;;;;;;;;;;;4
2016;4611;Thundorf;2;;;;;1;3;2;;;;1;;;;;;;;;2;11
2017;4611;Thundorf;2;;;;;;3;;;;;2;;;;;3;;;;4;14
2018;4611;Thundorf;4;1;;;;;3;;;;;2;;;;;3;;;;3;16
2019;4611;Thundorf;1;1;;;2;;2;7;;;;1;;;1;;2;;;;;17
2020;4611;Thundorf;5;2;;;1;;5;4;1;1;;1;;;2;1;1;;;;;24
2008;4776;Tobel-TÑgerschen;;;;;1;;;;;3;;;;;;;1;;;;;5
2009;4776;Tobel-TÑgerschen;6;;;2;;;1;;;3;;;;;;;1;;;;;13
2010;4776;Tobel-TÑgerschen;6;;;;;;1;;;5;1;;;;;;;;;;;13
2011;4776;Tobel-TÑgerschen;11;1;;;;;;;;5;3;;;;;;;;;;;20
2012;4776;Tobel-TÑgerschen;4;;;1;;;1;;;3;3;;;;;;;1;;;;13
2013;4776;Tobel-TÑgerschen;2;;;1;1;;1;;;1;5;;;;;;;;;;;11
2014;4776;Tobel-TÑgerschen;3;;;2;;;2;;;;5;;;;;;;1;;;;13
2015;4776;Tobel-TÑgerschen;;;;;;;;;;;;;;;;;;;;;1;1
2016;4776;Tobel-TÑgerschen;1;;;2;;;2;;;1;2;;;;;;;1;;;1;10
2017;4776;Tobel-TÑgerschen;1;;;1;;;;;;;1;4;;;;;4;;;;;11
2018;4776;Tobel-TÑgerschen;3;;;;1;;1;1;;;;1;;;;;2;;;;1;10
2019;4776;Tobel-TÑgerschen;2;;1;;;;5;;;;;1;;;1;;2;1;;;1;14
2020;4776;Tobel-TÑgerschen;4;;;;;;2;;;;;3;;;1;;1;;;;;11
2008;4616;Uesslingen-Buch;1;;;;1;;;;;;1;;;;;;;;;;;3
2009;4616;Uesslingen-Buch;3;;;2;1;;1;;;3;5;;;;;;1;;;;;16
2010;4616;Uesslingen-Buch;2;;;;1;;;;;2;1;;;;;;;;;;;6
2011;4616;Uesslingen-Buch;1;1;;2;1;1;1;;;4;3;;;;;;1;;;;;15
2012;4616;Uesslingen-Buch;7;;;;;;;;;1;5;;;;;;;;;;;13
2013;4616;Uesslingen-Buch;2;;;4;1;;;;;1;3;;;;;;;;;;;11
2014;4616;Uesslingen-Buch;2;;1;1;1;;;;;;3;;1;;;;1;;;;;10
2015;4616;Uesslingen-Buch;;;;2;;;1;;;;;;;;;;1;;;;2;6
2016;4616;Uesslingen-Buch;5;;;;;;;1;;1;;;;;;;2;;;;5;14
2017;4616;Uesslingen-Buch;3;;;1;;;2;;;1;;1;;;;;;;;;5;13
2018;4616;Uesslingen-Buch;3;1;1;;1;;3;;;1;;;;;;;;;;;2;12
2019;4616;Uesslingen-Buch;4;1;;;1;;10;1;;;;1;;;3;;;;;;;21
2020;4616;Uesslingen-Buch;;;;;;;5;;;;;1;;;4;;5;;;;;15
2008;4451;Uttwil;2;;;2;1;;;;;;1;;;;;;1;;;;;7
2009;4451;Uttwil;2;;;1;1;;1;;;;;;;1;;;;;;;;6
2010;4451;Uttwil;10;;;;;;3;;;2;1;;;;;;1;;;;;17
2011;4451;Uttwil;8;;;;1;;;;;3;3;;;;;;;;;;;15
2012;4451;Uttwil;3;1;;4;;;;;;1;5;;;;;;1;;;;;15
2013;4451;Uttwil;3;1;;3;;;1;;;;3;;;;;;;;;;;11
2014;4451;Uttwil;2;;;;;;1;;;3;;;;;;;1;;;;;7
2015;4451;Uttwil;;;;;;;1;;;3;2;;;;;;;;;;;6
2016;4451;Uttwil;2;;;;1;;;;;;;;;;;;;;;;1;4
2017;4451;Uttwil;3;;;;;;;;;;;1;;;;;;;;;3;7
2018;4451;Uttwil;1;;;;;;3;;;;;1;;;;;;;;;3;8
2019;4451;Uttwil;4;;;;;;2;;;;;;;;3;;;;;;;9
2020;4451;Uttwil;;;;;;;2;;;;;1;;;2;;;;;;;5
2008;4871;Wagenhausen;2;;;;;;;;;1;1;;;;;;;;;;;4
2009;4871;Wagenhausen;2;;;;1;;;;;3;;;;;;;3;;;;;9
2010;4871;Wagenhausen;8;;;1;;;1;1;;;;;;;;;2;;;;;13
2011;4871;Wagenhausen;5;1;2;3;1;;;;;6;;;;;;;1;;;;;19
2012;4871;Wagenhausen;7;;;1;1;;;2;;;2;;;;;;1;;;;;14
2013;4871;Wagenhausen;4;;1;1;;;;;;1;2;;;;;;;;;;;9
2014;4871;Wagenhausen;2;2;;1;1;;1;;;;;;;;;;;;;;;7
2015;4871;Wagenhausen;2;;;;;;;;;1;;;;;;;1;1;;;;5
2016;4871;Wagenhausen;2;;;;1;;;;;1;;;1;;;;;;;;1;6
2017;4871;Wagenhausen;2;;;;;;;;;;;;;;;;;;;;1;3
2018;4871;Wagenhausen;5;1;;;1;;;;;1;;2;;;;;2;;;;3;15
2019;4871;Wagenhausen;4;;;;;;1;;;;;3;;;1;;1;;;;;10
2020;4871;Wagenhausen;;1;;;;;4;1;;;;3;;;6;1;1;;1;;;18
2008;4701;WÑldi;;;;;;;;;;1;;;;;;;;;;;;1
2009;4701;WÑldi;1;;1;;1;1;;17;;2;;;;;;;;;;;;23
2010;4701;WÑldi;5;;;;1;;;1;;1;;;;;;;;;;;;8
2011;4701;WÑldi;6;1;;;;;;1;;2;;;;;;;2;;;;;12
2012;4701;WÑldi;;;;1;1;;;;;2;5;;;;;;1;;;;;10
2013;4701;WÑldi;3;;;;;;;;;;4;;;;;;;;;;;7
2014;4701;WÑldi;;;;1;;1;1;13;;2;3;;;;;;;;;;;21
2015;4701;WÑldi;2;;;;1;;1;3;;;1;;1;;;;1;1;;;;11
2016;4701;WÑldi;3;;;;;;2;;;;;;;;;;2;;;;3;10
2017;4701;WÑldi;1;;;;;;1;1;;;;2;;;;;;;;;;5
2018;4701;WÑldi;2;;;;;;4;;;;;1;1;;;;1;;;;2;11
2019;4701;WÑldi;2;;;;;;3;;;;;4;;;2;;;;;;;11
2020;4701;WÑldi;;;;;1;;2;;;;;2;;;4;;2;;;;;11
2008;4781;WÑngi;5;;;;1;;;1;;11;3;;;;;;2;;;;;23
2009;4781;WÑngi;12;;;1;3;;6;1;;10;;;;1;;;4;;;;;38
2010;4781;WÑngi;18;;;2;2;;4;1;;6;2;;;;;;;;;;1;36
2011;4781;WÑngi;20;;1;6;2;;7;2;;8;7;;;2;;;2;;;;;57
2012;4781;WÑngi;10;;;2;;;8;1;;7;8;;;;;;2;;;;;38
2013;4781;WÑngi;9;1;;4;;1;11;1;;5;7;;2;1;;;1;1;;;;44
2014;4781;WÑngi;9;;1;2;3;1;2;1;;2;5;;;;;;1;;;;;27
2015;4781;WÑngi;4;;;1;2;;7;;;7;2;;;;;;;;;;2;25
2016;4781;WÑngi;11;1;1;;1;;6;1;;2;;1;;;;;1;2;;;2;29
2017;4781;WÑngi;10;1;;;;1;2;;;2;;2;2;1;;;3;3;;1;2;30
2018;4781;WÑngi;9;2;;;1;;7;;;1;;8;;;;;3;;;;4;35
2019;4781;WÑngi;6;;;1;1;;14;;;;;2;3;;5;;3;;;;;35
2020;4781;WÑngi;7;2;;;1;1;13;3;;;;5;;;12;;6;;;;;50
2008;4621;Warth-Weiningen;1;;;;1;;;;;1;1;;;;;;1;;;;;5
2009;4621;Warth-Weiningen;1;;1;3;;;2;;;5;1;;;;;;;;;;;13
2010;4621;Warth-Weiningen;5;;;5;;1;;1;;;1;;;;;;3;;;;;16
2011;4621;Warth-Weiningen;4;1;;1;1;;1;;;2;1;;;;;;1;;;;;12
2012;4621;Warth-Weiningen;3;;;;;;2;;;1;3;;;;;;1;;;;;10
2013;4621;Warth-Weiningen;2;1;;2;;1;2;;;3;7;;;;;;;;;;;18
2014;4621;Warth-Weiningen;2;;1;;;;;;;;;;;;;;;;;;;3
2015;4621;Warth-Weiningen;2;;;;;;;;;;1;;1;;;;1;;;;1;6
2016;4621;Warth-Weiningen;2;;;;;;;;;;;;1;;;;;;;;2;5
2017;4621;Warth-Weiningen;4;;;1;;;4;;;;;3;2;;;;;;;;3;17
2018;4621;Warth-Weiningen;3;;;;;;3;;;;;1;;1;;;2;;;;2;12
2019;4621;Warth-Weiningen;;;;;;;4;1;;;;2;;;4;;2;;;;;13
2020;4621;Warth-Weiningen;;;;1;;1;5;;;;;1;;;9;;2;;;;;19
